,movie_id,genre
414,9772,Action
415,9798,Action
416,9799,Action
417,9802,Action
418,9804,Action
419,9806,Action
420,9822,Action
421,9823,Action
422,9824,Action
423,9825,Action
424,9826,Action
425,9829,Action
426,9869,Action
427,9882,Action
428,9884,Action
429,9890,Action
430,9920,Action
431,9923,Action
432,9945,Action
433,9946,Action
434,9947,Action
435,9950,Action
436,9954,Action
437,9955,Action
438,9978,Action
439,9989,Action
440,10003,Action
441,10016,Action
442,10017,Action
443,10022,Action
444,10027,Action
445,10034,Action
446,10040,Action
447,10045,Action
448,10047,Action
449,10048,Action
450,10054,Action
451,10061,Action
452,10070,Action
453,10074,Action
454,10077,Action
455,10090,Action
456,10105,Action
457,10117,Action
458,10135,Action
459,10136,Action
460,10138,Action
461,10159,Action
462,10167,Action
463,10179,Action
464,10189,Action
465,10195,Action
466,10196,Action
467,10204,Action
468,10253,Action
469,10329,Action
470,10336,Action
471,10350,Action
472,10357,Action
473,10366,Action
474,10375,Action
475,10388,Action
476,10413,Action
477,10425,Action
478,10428,Action
479,10431,Action
480,10461,Action
481,10477,Action
482,10483,Action
483,10528,Action
484,10534,Action
485,10535,Action
486,10550,Action
487,10555,Action
488,10569,Action
489,10589,Action
490,10590,Action
491,10610,Action
492,10615,Action
493,10622,Action
494,10623,Action
495,10632,Action
496,10643,Action
497,10656,Action
498,10661,Action
499,10705,Action
500,10718,Action
501,10724,Action
502,10743,Action
503,10762,Action
504,10764,Action
505,10771,Action
506,10782,Action
507,10783,Action
508,10786,Action
509,10796,Action
510,10803,Action
511,10861,Action
512,10871,Action
513,10877,Action
514,10890,Action
515,10914,Action
516,10923,Action
517,10935,Action
518,10991,Action
519,10999,Action
520,11001,Action
521,11022,Action
522,11090,Action
523,11128,Action
524,11141,Action
525,11165,Action
526,11194,Action
527,11199,Action
528,11212,Action
529,11228,Action
530,11237,Action
531,11358,Action
532,11362,Action
533,11370,Action
534,11371,Action
535,11375,Action
536,11382,Action
537,11398,Action
538,11411,Action
539,11412,Action
540,11495,Action
541,11509,Action
542,11517,Action
543,11519,Action
544,11535,Action
545,11536,Action
546,11551,Action
547,11564,Action
548,11576,Action
549,11658,Action
550,11665,Action
551,11667,Action
552,11676,Action
553,11678,Action
554,11679,Action
555,11690,Action
556,11692,Action
557,11702,Action
558,11770,Action
559,11817,Action
560,11818,Action
561,11835,Action
562,11863,Action
563,11866,Action
564,11891,Action
565,11904,Action
566,11918,Action
567,11935,Action
568,11967,Action
569,11968,Action
570,11969,Action
571,11983,Action
572,12085,Action
573,12088,Action
574,12094,Action
575,12096,Action
576,12100,Action
577,12106,Action
578,12113,Action
579,12123,Action
580,12138,Action
581,12142,Action
582,12160,Action
583,12207,Action
584,12211,Action
585,12227,Action
586,12244,Action
587,12277,Action
588,12279,Action
589,12289,Action
590,12437,Action
591,12484,Action
592,12589,Action
593,12610,Action
594,12704,Action
595,12770,Action
596,13006,Action
597,13025,Action
598,13027,Action
599,13051,Action
600,13056,Action
601,13064,Action
602,13072,Action
603,13154,Action
604,13183,Action
605,13184,Action
606,13191,Action
607,13197,Action
608,13201,Action
609,13282,Action
610,13389,Action
611,13408,Action
612,13460,Action
613,13475,Action
614,13491,Action
615,13495,Action
616,13496,Action
617,13498,Action
618,13503,Action
619,13805,Action
620,13807,Action
621,13809,Action
622,13811,Action
623,13836,Action
624,13922,Action
625,13938,Action
626,13950,Action
627,14034,Action
628,14043,Action
629,14161,Action
630,14164,Action
631,14324,Action
632,14351,Action
633,14392,Action
634,14396,Action
635,14538,Action
636,14560,Action
637,14576,Action
638,14623,Action
639,14736,Action
640,14854,Action
641,14869,Action
642,14877,Action
643,15049,Action
644,15067,Action
645,15070,Action
646,15074,Action
647,15092,Action
648,15158,Action
649,15173,Action
650,15239,Action
651,15268,Action
652,15365,Action
653,15644,Action
654,15745,Action
655,15797,Action
656,15983,Action
657,16016,Action
658,16205,Action
659,16290,Action
660,16320,Action
661,16353,Action
662,16441,Action
663,16577,Action
664,16608,Action
665,16651,Action
666,16869,Action
667,16911,Action
668,16995,Action
669,17043,Action
670,17130,Action
671,17134,Action
672,17186,Action
673,17339,Action
674,17577,Action
675,17622,Action
676,17708,Action
677,17711,Action
678,18065,Action
679,18360,Action
680,18501,Action
681,18533,Action
682,18550,Action
683,18712,Action
684,18808,Action
685,18823,Action
686,18828,Action
687,18869,Action
688,18885,Action
689,18886,Action
690,19150,Action
691,19187,Action
692,19419,Action
693,19457,Action
694,19495,Action
695,19585,Action
696,19644,Action
697,19803,Action
698,19898,Action
699,19901,Action
700,19959,Action
701,19995,Action
702,20083,Action
703,20391,Action
704,20406,Action
705,20483,Action
706,20504,Action
707,20526,Action
