,movie_id,genre
272,12437,Science Fiction
273,12589,Science Fiction
274,13001,Science Fiction
275,13006,Science Fiction
276,13025,Science Fiction
277,13183,Science Fiction
278,13282,Science Fiction
279,13363,Science Fiction
280,13460,Science Fiction
281,13475,Science Fiction
282,13688,Science Fiction
283,13768,Science Fiction
284,13811,Science Fiction
285,13812,Science Fiction
286,13820,Science Fiction
287,13836,Science Fiction
288,13856,Science Fiction
289,14139,Science Fiction
290,14161,Science Fiction
291,14164,Science Fiction
292,14199,Science Fiction
293,14337,Science Fiction
294,14353,Science Fiction
295,14623,Science Fiction
296,14869,Science Fiction
297,15028,Science Fiction
298,15158,Science Fiction
299,15239,Science Fiction
300,15268,Science Fiction
301,15301,Science Fiction
302,15511,Science Fiction
303,15512,Science Fiction
304,16016,Science Fiction
305,16110,Science Fiction
306,16241,Science Fiction
307,16300,Science Fiction
308,16320,Science Fiction
309,16577,Science Fiction
310,16633,Science Fiction
311,16866,Science Fiction
312,16911,Science Fiction
313,17431,Science Fiction
314,17577,Science Fiction
315,17654,Science Fiction
316,18045,Science Fiction
317,18162,Science Fiction
318,18442,Science Fiction
319,18501,Science Fiction
320,18841,Science Fiction
321,19405,Science Fiction
322,19898,Science Fiction
323,19901,Science Fiction
324,19959,Science Fiction
325,19995,Science Fiction
326,20455,Science Fiction
327,20504,Science Fiction
328,20526,Science Fiction
329,20542,Science Fiction
330,20764,Science Fiction
331,20856,Science Fiction
332,21512,Science Fiction
333,21765,Science Fiction
334,22345,Science Fiction
335,22824,Science Fiction
336,22825,Science Fiction
337,23048,Science Fiction
338,23730,Science Fiction
339,23963,Science Fiction
340,24126,Science Fiction
341,24264,Science Fiction
342,24428,Science Fiction
343,24746,Science Fiction
344,25763,Science Fiction
345,25769,Science Fiction
346,26672,Science Fiction
347,27205,Science Fiction
348,27380,Science Fiction
349,27549,Science Fiction
350,28260,Science Fiction
351,29146,Science Fiction
352,29426,Science Fiction
353,30315,Science Fiction
354,30379,Science Fiction
355,31867,Science Fiction
356,31909,Science Fiction
357,31915,Science Fiction
358,32235,Science Fiction
359,32740,Science Fiction
360,33155,Science Fiction
361,33468,Science Fiction
362,34069,Science Fiction
363,34086,Science Fiction
364,34549,Science Fiction
365,34851,Science Fiction
366,35073,Science Fiction
367,35791,Science Fiction
368,36549,Science Fiction
369,36648,Science Fiction
370,36657,Science Fiction
371,36658,Science Fiction
372,36668,Science Fiction
373,36819,Science Fiction
374,37686,Science Fiction
375,37707,Science Fiction
376,38050,Science Fiction
377,38055,Science Fiction
378,38321,Science Fiction
379,38356,Science Fiction
380,38541,Science Fiction
381,39254,Science Fiction
382,39513,Science Fiction
383,39538,Science Fiction
384,40160,Science Fiction
385,41154,Science Fiction
386,42033,Science Fiction
387,42188,Science Fiction
388,42684,Science Fiction
389,43630,Science Fiction
390,43933,Science Fiction
391,43935,Science Fiction
392,44833,Science Fiction
393,44912,Science Fiction
394,44943,Science Fiction
395,45612,Science Fiction
396,45767,Science Fiction
397,46529,Science Fiction
398,46729,Science Fiction
399,47933,Science Fiction
400,49047,Science Fiction
401,49049,Science Fiction
402,49521,Science Fiction
403,49529,Science Fiction
404,49530,Science Fiction
405,49538,Science Fiction
406,50037,Science Fiction
407,50357,Science Fiction
408,50942,Science Fiction
409,51955,Science Fiction
410,52010,Science Fiction
411,52015,Science Fiction
412,53502,Science Fiction
413,54138,Science Fiction
414,55420,Science Fiction
415,56715,Science Fiction
416,57876,Science Fiction
417,59457,Science Fiction
418,59678,Science Fiction
419,59967,Science Fiction
420,61791,Science Fiction
421,61984,Science Fiction
422,62215,Science Fiction
423,62764,Science Fiction
424,68179,Science Fiction
425,68684,Science Fiction
426,68721,Science Fiction
427,68724,Science Fiction
428,68726,Science Fiction
429,70160,Science Fiction
430,70687,Science Fiction
431,70981,Science Fiction
432,71469,Science Fiction
433,71679,Science Fiction
434,72190,Science Fiction
435,72545,Science Fiction
